Estado,tendência,p-valor,z,Tau,slope,intercept
ALAGOAS,increasing,0.04828610767668162,1.9748417658131499,0.6666666666666666,1.4000000000000004,26.25
AMAPA,,,,,,
AMAZONAS,no trend,1.0,0.0,-0.047619047619047616,-634.8604299999992,36391.30629
BAHIA,no trend,0.7638905934705396,0.3003757045930553,0.14285714285714285,27507.260574000004,433011.581978
CEARA,no trend,1.0,0.0,-0.047619047619047616,-116150.95065000001,6564063.8596035
DISTRITO FEDERAL,no trend,0.2962698714842864,1.044465935734187,1.0,7.7441,0.918400000000001
ESPIRITO SANTO,no trend,0.07150541644487451,-1.8022542275583318,-0.6190476190476191,-301585.34444733337,1725761.7822145
GOIAS,no trend,0.22955621387891956,1.2015028183722212,0.42857142857142855,3970.8987500000007,-1631.0612500000025
MARANHAO,no trend,0.22955621387891956,-1.2015028183722212,-0.42857142857142855,-4520.9497165,56773.8141495
MATO GROSSO,increasing,0.016260936780450264,2.4030056367444423,0.8095238095238095,4368.645749999996,61285.516250000015
MINAS GERAIS,no trend,0.36752073824214304,0.9011271137791659,0.3333333333333333,349442.5752079001,6034427.5809863005
PARA,no trend,0.36752073824214304,-0.9011271137791659,-0.3333333333333333,-12001.058624000018,383238.74724000006
PARAIBA,no trend,0.7638905934705396,0.3003757045930553,0.14285714285714285,87278.67268000003,3111869.96196
PARANA,no trend,0.5480055723613093,0.6007514091861106,0.23809523809523808,6118.713261750003,320372.70421475003
PERNAMBUCO,no trend,0.13312848419605983,1.5018785229652765,0.5238095238095238,883112.0770325,4356999.628217501
PIAUI,no trend,0.5480055723613093,0.6007514091861106,0.23809523809523808,13166.916666666666,260683.90000000002
RIO DE JANEIRO,increasing,0.035498131320662596,2.102629932151387,0.7142857142857143,116484.16735833336,1897387.3542419998
RIO GRANDE DO NORTE,,,,,,
RIO GRANDE DO SUL,no trend,1.0,0.0,0.047619047619047616,86387.36731275002,1670770.55145575
SANTA CATARINA,no trend,0.07150541644487451,1.8022542275583318,0.6190476190476191,57580.66654233334,227747.45161450002
SAO PAULO,no trend,0.22955621387891956,-1.2015028183722212,-0.42857142857142855,-691508452.9455993,2351219761.7216196
SERGIPE,no trend,0.07150541644487451,1.8022542275583318,0.6190476190476191,10557.483333333335,65294.14000000001
